Cinéma,Adresse du cinéma,Salle,CNC,Capacité,Équipement,Format de projection,Nom contact,Email,Téléphone
CGR Brive-la-Gaillarde,Avenue Jacques et Bernadette Chirac - 19100 Brive-la-Gaillarde,3,075696,92,3DNumérique,Numérique 2D,Directeur de la programmation,Patrice Martin,patrice.martin@cgrcinemas.fr
CGR Brive-la-Gaillarde,Avenue Jacques et Bernadette Chirac - 19100 Brive-la-Gaillarde,4,075697,89,3DNumérique,Numérique 2D,Directeur de la programmation,Patrice Martin,patrice.martin@cgrcinemas.fr
CGR Brive-la-Gaillarde,Avenue Jacques et Bernadette Chirac - 19100 Brive-la-Gaillarde,5,075698,73,3DNumérique,Numérique 2D,Directeur de la programmation,Patrice Martin,patrice.martin@cgrcinemas.fr
CGR Brive-la-Gaillarde,Avenue Jacques et Bernadette Chirac - 19100 Brive-la-Gaillarde,6,075699,252,3DNumérique,Numérique 2D,Directeur de la programmation,Patrice Martin,patrice.martin@cgrcinemas.fr
CGR Brive-la-Gaillarde,Avenue Jacques et Bernadette Chirac - 19100 Brive-la-Gaillarde,7,075700,122,3DNumérique,Numérique 2D,Directeur de la programmation,Patrice Martin,patrice.martin@cgrcinemas.fr
CGR Brive-la-Gaillarde,Avenue Jacques et Bernadette Chirac - 19100 Brive-la-Gaillarde,8,075701,99,3DNumérique,Numérique 2D,Directeur de la programmation,Patrice Martin,patrice.martin@cgrcinemas.fr
CGR Brive-la-Gaillarde,Avenue Jacques et Bernadette Chirac - 19100 Brive-la-Gaillarde,9,075702,82,3DNumérique,Numérique 2D,Directeur de la programmation,Patrice Martin,patrice.martin@cgrcinemas.fr
SEL,"47-49, Grande rue - 92310 Sèvres",1,362414,380,35mmNumérique,Numérique 2D,GRP,Laurent Geissmann,laurent.geissmann@prog-gpci.fr
Auditorium Seynod (L'),1 Place de l'Hôtel de Ville Seynod - 74600 Annecy,1,362651,277,3D35mmNumérique,Numérique 2D,Cécile NHOYBOUAKONG,c.nhoybouakong@auditoriumseynod.com,
Condate (Le),Rue de Savoie - 74910 Seyssel,1,362693,128,35mmNumérique,Numérique 2D,Programmation régions de Marseille + GRP + DROM et Bordeaux,Sandrine Gueynard,sandrine.gueynard@veocine.fr
Sez'Art,Rue des Lys - 51120 Sézanne,1,362773,220,3DNumérique,Numérique 2D,David Pires,david.pires@le-sezart.com,
Sez'Art,Rue des Lys - 51120 Sézanne,2,362774,99,35mmNumérique,Numérique 2D,David Pires,david.pires@le-sezart.com,
Corbières (Les),Place de la Libération - B.P. 30 - 11130 Sigean,1,363131,206,3D35mmNumérique,Numérique 2D,Pierre Jammes,cinemacorbieres@aol.com,
CGR Bruay-la-Buissière,"ZAC Porte Nord - 129, Rue Georges Charpak - 62700 Bruay-la-Buissière",1,076825,584,3DNumériqueAtmos,Numérique 2D,Directeur de la programmation,Patrice Martin,patrice.martin@cgrcinemas.fr
CGR Bruay-la-Buissière,"ZAC Porte Nord - 129, Rue Georges Charpak - 62700 Bruay-la-Buissière",2,076826,166,3DNumérique,Numérique 2D,Directeur de la programmation,Patrice Martin,patrice.martin@cgrcinemas.fr
CGR Bruay-la-Buissière,"ZAC Porte Nord - 129, Rue Georges Charpak - 62700 Bruay-la-Buissière",3,076827,166,3DNumérique,Numérique 2D,Directeur de la programmation,Patrice Martin,patrice.martin@cgrcinemas.fr
CGR Bruay-la-Buissière,"ZAC Porte Nord - 129, Rue Georges Charpak - 62700 Bruay-la-Buissière",4,076828,119,3DNumérique,Numérique 2D,Directeur de la programmation,Patrice Martin,patrice.martin@cgrcinemas.fr
CGR Bruay-la-Buissière,"ZAC Porte Nord - 129, Rue Georges Charpak - 62700 Bruay-la-Buissière",5,076829,119,3DNumérique,Numérique 2D,Directeur de la programmation,Patrice Martin,patrice.martin@cgrcinemas.fr
CGR Bruay-la-Buissière,"ZAC Porte Nord - 129, Rue Georges Charpak - 62700 Bruay-la-Buissière",6,076830,91,3DNumérique,Numérique 2D,Directeur de la programmation,Patrice Martin,patrice.martin@cgrcinemas.fr
CGR Bruay-la-Buissière,"ZAC Porte Nord - 129, Rue Georges Charpak - 62700 Bruay-la-Buissière",7,076831,183,3DNumériqueIce,ICE 2D,Directeur de la programmation,Patrice Martin,patrice.martin@cgrcinemas.fr
CGR Bruay-la-Buissière,"ZAC Porte Nord - 129, Rue Georges Charpak - 62700 Bruay-la-Buissière",8,076832,178,3DNumérique,Numérique 2D,Directeur de la programmation,Patrice Martin,patrice.martin@cgrcinemas.fr
CGR Bruay-la-Buissière,"ZAC Porte Nord - 129, Rue Georges Charpak - 62700 Bruay-la-Buissière",9,076833,167,3DNumérique,Numérique 2D,Directeur de la programmation,Patrice Martin,patrice.martin@cgrcinemas.fr
CGR Bruay-la-Buissière,"ZAC Porte Nord - 129, Rue Georges Charpak - 62700 Bruay-la-Buissière",10,076834,155,3DNumérique,Numérique 2D,Directeur de la programmation,Patrice Martin,patrice.martin@cgrcinemas.fr
CGR Bruay-la-Buissière,"ZAC Porte Nord - 129, Rue Georges Charpak - 62700 Bruay-la-Buissière",11,076835,126,3DNumérique,Numérique 2D,Directeur de la programmation,Patrice Martin,patrice.martin@cgrcinemas.fr
CGR Bruay-la-Buissière,"ZAC Porte Nord - 129, Rue Georges Charpak - 62700 Bruay-la-Buissière",12,076836,350,3DNumérique,Numérique 2D,Directeur de la programmation,Patrice Martin,patrice.martin@cgrcinemas.fr
CGR Soissons,"12-14, rue du Beffroi - 02200 Soissons",1,364503,294,3D35mmNumérique,Numérique 2D,Directeur de la programmation,Patrice Martin,patrice.martin@cgrcinemas.fr
CGR Soissons,"12-14, rue du Beffroi - 02200 Soissons",2,364512,273,3D35mmNumérique,,Directeur de la programmation,Patrice Martin,patrice.martin@cgrcinemas.fr
CGR Soissons,"12-14, rue du Beffroi - 02200 Soissons",3,364504,148,35mmNumérique,Numérique 2D,Directeur de la programmation,Patrice Martin,patrice.martin@cgrcinemas.fr
CGR Soissons,"12-14, rue du Beffroi - 02200 Soissons",4,364513,104,35mmNumérique,Numérique 2D,Directeur de la programmation,Patrice Martin,patrice.martin@cgrcinemas.fr
CGR Soissons,"12-14, rue du Beffroi - 02200 Soissons",5,364514,99,35mmNumérique,Numérique 2D,Directeur de la programmation,Patrice Martin,patrice.martin@cgrcinemas.fr
CGR Soissons,"12-14, rue du Beffroi - 02200 Soissons",6,364515,64,35mmNumérique,Numérique 2D,Directeur de la programmation,Patrice Martin,patrice.martin@cgrcinemas.fr
Venise (Le),"5, rue Compane - 30250 Sommières",1,365434,117,35mmNumérique,Numérique 2D,Bruno ROBILLARD,bruno.robillard@cbrcinemas.fr,
Venise (Le),"5, rue Compane - 30250 Sommières",2,365435,58,35mmNumérique,Numérique 2D,Bruno ROBILLARD,bruno.robillard@cbrcinemas.fr,
Venise (Le),"5, rue Compane - 30250 Sommières",3,365436,121,Numérique,Numérique 2D,Bruno ROBILLARD,bruno.robillard@cbrcinemas.fr,
Cinéma Le Paris,"19, av. Charles de Gaulle - 46200 Souillac",1,366992,234,3D35mmNumérique,Numérique 2D,Olivier Défossé,olivierdefosse@orange.fr,
Cinéma Le Paris,"19, av. Charles de Gaulle - 46200 Souillac",2,366993,110,3D35mmNumérique,Numérique 2D,Olivier Défossé,olivierdefosse@orange.fr,
Océanic (L'),"68, rue de la Plage - 33780 Soulac-sur-Mer",1,367052,287,3D35mmNumérique,Numérique 2D,GRP,Laurent Geissmann,laurent.geissmann@prog-gpci.fr
CGR Cherbourg,Boulevard Félix Amiot - 50100 Cherbourg-en-Cotentin,1,109836,596,3DNumériqueAtmos,Numérique 2D,Directeur de la programmation,Patrice Martin,patrice.martin@cgrcinemas.fr
CGR Cherbourg,Boulevard Félix Amiot - 50100 Cherbourg-en-Cotentin,2,109837,171,3DNumérique,Numérique 2D,Directeur de la programmation,Patrice Martin,patrice.martin@cgrcinemas.fr
CGR Cherbourg,Boulevard Félix Amiot - 50100 Cherbourg-en-Cotentin,3,109838,171,3DNumérique,Numérique 2D,Directeur de la programmation,Patrice Martin,patrice.martin@cgrcinemas.fr
CGR Cherbourg,Boulevard Félix Amiot - 50100 Cherbourg-en-Cotentin,4,109839,122,3DNumérique,Numérique 2D,Directeur de la programmation,Patrice Martin,patrice.martin@cgrcinemas.fr
CGR Cherbourg,Boulevard Félix Amiot - 50100 Cherbourg-en-Cotentin,5,109840,123,3DNumérique,Numérique 2D,Directeur de la programmation,Patrice Martin,patrice.martin@cgrcinemas.fr
CGR Cherbourg,Boulevard Félix Amiot - 50100 Cherbourg-en-Cotentin,6,109841,91,3DNumérique,Numérique 2D,Directeur de la programmation,Patrice Martin,patrice.martin@cgrcinemas.fr
CGR Cherbourg,Boulevard Félix Amiot - 50100 Cherbourg-en-Cotentin,7,109842,283,3DNumérique,Numérique 2D,Directeur de la programmation,Patrice Martin,patrice.martin@cgrcinemas.fr
CGR Cherbourg,Boulevard Félix Amiot - 50100 Cherbourg-en-Cotentin,8,109843,106,3DNumériqueIce,ICE 2D,Directeur de la programmation,Patrice Martin,patrice.martin@cgrcinemas.fr
CGR Cherbourg,Boulevard Félix Amiot - 50100 Cherbourg-en-Cotentin,9,109844,172,3DNumérique,Numérique 2D,Directeur de la programmation,Patrice Martin,patrice.martin@cgrcinemas.fr
CGR Cherbourg,Boulevard Félix Amiot - 50100 Cherbourg-en-Cotentin,10,109845,160,3DNumérique,Numérique 2D,Directeur de la programmation,Patrice Martin,patrice.martin@cgrcinemas.fr
CGR Cherbourg,Boulevard Félix Amiot - 50100 Cherbourg-en-Cotentin,11,109846,131,3DNumérique,Numérique 2D,Directeur de la programmation,Patrice Martin,patrice.martin@cgrcinemas.fr
CGR Cherbourg,Boulevard Félix Amiot - 50100 Cherbourg-en-Cotentin,12,109847,361,3DNumérique,Numérique 2D,Directeur de la programmation,Patrice Martin,patrice.martin@cgrcinemas.fr
Paul Eluard,Place Marcel Pointet - 93240 Stains,1,368403,699,3D35mmNumérique,Numérique 2D,Corinne AMREIN,corinne.amrein@stains.fr,laurence.lebris@stains.fr
Star Saint-Exupery,"18, rue du 22 Novembre - 67000 Strasbourg",1,369781,242,3D35mmNumérique,Numérique 2D,Stéphane Libs,libs@cinema-star.com,
Star Saint-Exupery,"18, rue du 22 Novembre - 67000 Strasbourg",2,369783,142,35mmNumérique,Numérique 2D,Stéphane Libs,libs@cinema-star.com,
Star Saint-Exupery,"18, rue du 22 Novembre - 67000 Strasbourg",3,369782,139,35mmNumérique,Numérique 2D,Stéphane Libs,libs@cinema-star.com,
Star Saint-Exupery,"18, rue du 22 Novembre - 67000 Strasbourg",4,369784,81,35mmNumérique,Numérique 2D,Stéphane Libs,libs@cinema-star.com,
Star Saint-Exupery,"18, rue du 22 Novembre - 67000 Strasbourg",5,369785,87,35mmNumérique,Numérique 2D,Stéphane Libs,libs@cinema-star.com,
Centre Culturel JM Poirier,Esplanade du 18 Juin 1940 - 94370 Sucy-en-Brie,1,370073,205,3D35mmNumérique,Numérique 2D,GRP,Laurent Geissmann,laurent.geissmann@prog-gpci.fr
Sully (Le),"Cinéma Le Sully - 22, boulevard Jeanne d'Arc",1,370251,204,3D35mmNumérique,Numérique 2D,GRP,Laurent Geissmann,laurent.geissmann@prog-gpci.fr
CGR Freyming-Merlebach,Route de Metz - RN 3 - 57800 Freyming-Merlebach,1,170435,638,3D35mmNumérique,Numérique 2D,Directeur de la programmation,Patrice Martin,patrice.martin@cgrcinemas.fr
CGR Freyming-Merlebach,Route de Metz - RN 3 - 57800 Freyming-Merlebach,2,170436,233,3DNumérique,Numérique 2D,Directeur de la programmation,Patrice Martin,patrice.martin@cgrcinemas.fr
CGR Freyming-Merlebach,Route de Metz - RN 3 - 57800 Freyming-Merlebach,3,170437,189,3DNumérique,Numérique 2D,Directeur de la programmation,Patrice Martin,patrice.martin@cgrcinemas.fr
CGR Freyming-Merlebach,Route de Metz - RN 3 - 57800 Freyming-Merlebach,4,170438,150,3DNumérique,Numérique 2D,Directeur de la programmation,Patrice Martin,patrice.martin@cgrcinemas.fr
CGR Freyming-Merlebach,Route de Metz - RN 3 - 57800 Freyming-Merlebach,5,170439,102,3DNumérique,Numérique 2D,Directeur de la programmation,Patrice Martin,patrice.martin@cgrcinemas.fr
CGR Freyming-Merlebach,Route de Metz - RN 3 - 57800 Freyming-Merlebach,6,170440,92,3DNumérique,Numérique 2D,Directeur de la programmation,Patrice Martin,patrice.martin@cgrcinemas.fr
CGR Freyming-Merlebach,Route de Metz - RN 3 - 57800 Freyming-Merlebach,7,170441,148,3DNumérique,Numérique 2D,Directeur de la programmation,Patrice Martin,patrice.martin@cgrcinemas.fr
CGR Freyming-Merlebach,Route de Metz - RN 3 - 57800 Freyming-Merlebach,8,170442,189,3DNumérique,Numérique 2D,Directeur de la programmation,Patrice Martin,patrice.martin@cgrcinemas.fr
CGR Freyming-Merlebach,Route de Metz - RN 3 - 57800 Freyming-Merlebach,9,170443,291,3DNumérique,Numérique 2D,Directeur de la programmation,Patrice Martin,patrice.martin@cgrcinemas.fr
CGR Freyming-Merlebach,Route de Metz - RN 3 - 57800 Freyming-Merlebach,10,170444,442,3DNumérique,Numérique 2D,Directeur de la programmation,Patrice Martin,patrice.martin@cgrcinemas.fr
Petit Casino,"18, place du président Wilson - 41110 Saint-Aignan",1,371581,160,3D35mmNumérique,Numérique 2D,Programmateur,Olivier Doradoux,programmation.circuitcvl@gmail.com
Petit Casino,"18, place du président Wilson - 41110 Saint-Aignan",2,371583,72,35mmNumérique,Numérique 2D,Programmateur,Olivier Doradoux,programmation.circuitcvl@gmail.com
Ciné-Route Saint-Marcellin,"20, Bd Riondel - 38160 Saint-Marcellin",1,373599,100,35mmNumérique,,Lydie Ratajczyk,lydie@mc4-distribution.fr,
Cratère (Le),rue Jean Moulin - 78730 Saint-Arnoult-en-Yvelines,1,374021,439,35mmNumérique,Numérique 2D,,Renaud Clargé,micromegasclarge@yahoo.fr
Saint-Joseph (tournée),49190 Saint-Aubin-de-Luigné - Téléphone: 02 41 18 20 00,1,374431,300,35mmNumérique,Numérique 2D,Joelle Hanot,"palace.chateaugontier@gmail.com, Palace.chateaugontier.compta@gmail.com",
Saint-Joseph (tournée),49190 Saint-Aubin-de-Luigné - Téléphone: 02 41 18 20 00,2,,,Numérique,,Joelle Hanot,"palace.chateaugontier@gmail.com, Palace.chateaugontier.compta@gmail.com",
Saint-Joseph (tournée),49190 Saint-Aubin-de-Luigné - Téléphone: 02 41 18 20 00,3,,219,Numérique,,Joelle Hanot,"palace.chateaugontier@gmail.com, Palace.chateaugontier.compta@gmail.com",
Saint-Joseph (tournée),49190 Saint-Aubin-de-Luigné - Téléphone: 02 41 18 20 00,4,,200,Numérique,,Joelle Hanot,"palace.chateaugontier@gmail.com, Palace.chateaugontier.compta@gmail.com",
Saint-Joseph (tournée),49190 Saint-Aubin-de-Luigné - Téléphone: 02 41 18 20 00,5,,,Numérique,,Joelle Hanot,"palace.chateaugontier@gmail.com, Palace.chateaugontier.compta@gmail.com",
Mauclerc,"9, rue Anne de Bretagne - 35140 Saint-Aubin-du-Cormier",1,374582,199,35mmNumérique,Numérique 2D,Aurélie Saget,asaget@cinediffusion.fr,
Mauclerc,"9, rue Anne de Bretagne - 35140 Saint-Aubin-du-Cormier",2,374583,94,35mmNumérique,Numérique 2D,Aurélie Saget,asaget@cinediffusion.fr,
CGR Centre - Tours,"4, Place François Truffaut - 37000 Tours",1,431801,231,3DNumérique,Numérique 2D,Directeur de la programmation,Patrice Martin,patrice.martin@cgrcinemas.fr
CGR Centre - Tours,"4, Place François Truffaut - 37000 Tours",2,431802,159,3DNumérique,Numérique 2D,Directeur de la programmation,Patrice Martin,patrice.martin@cgrcinemas.fr
CGR Centre - Tours,"4, Place François Truffaut - 37000 Tours",3,431803,116,3DNumérique,Numérique 2D,Directeur de la programmation,Patrice Martin,patrice.martin@cgrcinemas.fr
CGR Centre - Tours,"4, Place François Truffaut - 37000 Tours",4,431804,189,3DNumérique,Numérique 2D,Directeur de la programmation,Patrice Martin,patrice.martin@cgrcinemas.fr
CGR Centre - Tours,"4, Place François Truffaut - 37000 Tours",5,431805,198,3DNumérique,Numérique 2D,Directeur de la programmation,Patrice Martin,patrice.martin@cgrcinemas.fr
CGR Centre - Tours,"4, Place François Truffaut - 37000 Tours",6,431806,299,3DNumérique,Numérique 2D,Directeur de la programmation,Patrice Martin,patrice.martin@cgrcinemas.fr
CGR Centre - Tours,"4, Place François Truffaut - 37000 Tours",7,431810,431,3DNumérique,Numérique 2D,Directeur de la programmation,Patrice Martin,patrice.martin@cgrcinemas.fr
CGR Centre - Tours,"4, Place François Truffaut - 37000 Tours",8,431811,275,3DNumérique,Numérique 2D,Directeur de la programmation,Patrice Martin,patrice.martin@cgrcinemas.fr
Mégarama le Tremplin - Courchevel,Immeuble Le Tremplin - rue de la Croisette - Courchevel - 73120 Saint-Bon-Tarentaise,1,376531,258,35mmNumérique,,Thomas Graux,"tg@megarama.com, assistantprogrammation@megarama.com",
Central Cinéma,rue de la Trésorerie - 05500 Saint-Bonnet-en-Champsaur,1,376802,212,35mmNumérique,Numérique 2D,Janine Bohn,janine.bohn@wanadoo.fr,
Cin'Etoile,"1, route d'Augel - 42380 Saint-Bonnet-le-Château",1,376842,145,35mmNumérique,Numérique 2D,Programmation régions de Marseille + GRP + DROM et Bordeaux,Sandrine Gueynard,sandrine.gueynard@veocine.fr
CGR Tarnos,Bd Jacques Duclos - 40220 Tarnos,1,422160,592,3DNumériqueAtmos,Numérique 2D,Directeur de la programmation,Patrice Martin,patrice.martin@cgrcinemas.fr
CGR Tarnos,Bd Jacques Duclos - 40220 Tarnos,2,422161,285,3DNumérique,Numérique 2D,Directeur de la programmation,Patrice Martin,patrice.martin@cgrcinemas.fr
CGR Tarnos,Bd Jacques Duclos - 40220 Tarnos,3,422162,183,3DNumérique,Numérique 2D,Directeur de la programmation,Patrice Martin,patrice.martin@cgrcinemas.fr
CGR Tarnos,Bd Jacques Duclos - 40220 Tarnos,4,422163,121,3DNumérique,Numérique 2D,Directeur de la programmation,Patrice Martin,patrice.martin@cgrcinemas.fr
CGR Tarnos,Bd Jacques Duclos - 40220 Tarnos,5,422164,122,3DNumérique,Numérique 2D,Directeur de la programmation,Patrice Martin,patrice.martin@cgrcinemas.fr
CGR Tarnos,Bd Jacques Duclos - 40220 Tarnos,6,422165,86,3DNumérique,Numérique 2D,Directeur de la programmation,Patrice Martin,patrice.martin@cgrcinemas.fr
CGR Tarnos,Bd Jacques Duclos - 40220 Tarnos,7,422166,167,3DNumérique,Numérique 2D,Directeur de la programmation,Patrice Martin,patrice.martin@cgrcinemas.fr
CGR Tarnos,Bd Jacques Duclos - 40220 Tarnos,8,422167,354,3DNumérique,Numérique 2D,Directeur de la programmation,Patrice Martin,patrice.martin@cgrcinemas.fr
CGR Tarnos,Bd Jacques Duclos - 40220 Tarnos,9,422168,173,3DNumérique,Numérique 2D,Directeur de la programmation,Patrice Martin,patrice.martin@cgrcinemas.fr
CGR Tarnos,Bd Jacques Duclos - 40220 Tarnos,10,422169,175,3DNumérique,Numérique 2D,Directeur de la programmation,Patrice Martin,patrice.martin@cgrcinemas.fr
CGR Tarnos,Bd Jacques Duclos - 40220 Tarnos,11,422170,143,3DNumérique,Numérique 2D,Directeur de la programmation,Patrice Martin,patrice.martin@cgrcinemas.fr
CGR Tarnos,Bd Jacques Duclos - 40220 Tarnos,12,422171,166,3DNumériqueIce,ICE 2D,Directeur de la programmation,Patrice Martin,patrice.martin@cgrcinemas.fr
Club 6,"40, Bd Clémenceau - 22000 Saint-Brieuc",1,377271,379,35mmNumérique,Numérique 2D,Aurélie Saget,asaget@cinediffusion.fr,
Club 6,"40, Bd Clémenceau - 22000 Saint-Brieuc",2,377272,319,35mmNumérique,Numérique 2D,Aurélie Saget,asaget@cinediffusion.fr,
Club 6,"40, Bd Clémenceau - 22000 Saint-Brieuc",3,377273,159,35mmNumérique,Numérique 2D,Aurélie Saget,asaget@cinediffusion.fr,
Club 6,"40, Bd Clémenceau - 22000 Saint-Brieuc",4,377274,101,35mmNumérique,Numérique 2D,Aurélie Saget,asaget@cinediffusion.fr,
Club 6,"40, Bd Clémenceau - 22000 Saint-Brieuc",5,377275,102,Numérique,Numérique 2D,Aurélie Saget,asaget@cinediffusion.fr,
Club 6,"40, Bd Clémenceau - 22000 Saint-Brieuc",6,377276,90,Numérique,Numérique 2D,Aurélie Saget,asaget@cinediffusion.fr,
Zoom,Cinéma Zoom - Le LACET - Place de l'Hôtel de Ville,1,377441,131,35mmNumérique,Numérique 2D,Charly Lambert,contact@cinemazoom.fr,
MDA Saint-Céré,170 Quai Auguste Salesse - 46400 Saint-Céré,1,377892,284,3D35mmNumérique,Numérique 2D,Programmation régions de Marseille + GRP + DROM et Bordeaux,Sandrine Gueynard,sandrine.gueynard@veocine.fr
Serre d'Aigle (Le),Chantemerle - 05330 Saint-Chaffrey,1,378061,92,35mmNumérique,,Thierry Blanchard,cineprofilms@gmail.com,
Serre d'Aigle (Le),Chantemerle - 05330 Saint-Chaffrey,2,378062,78,35mmNumérique,,Thierry Blanchard,cineprofilms@gmail.com,
Véo Grand Lumière,2 rue Maurice Bonnevialle - 42400 Saint-Chamond,1,383599,96,35mmNumérique,Numérique 2D,Programmation,Jean-Philippe Sicaud,jpsicaud@urfol-aura.org
Véo Grand Lumière,2 rue Maurice Bonnevialle - 42400 Saint-Chamond,2,383600,148,Numérique,Numérique 2D,Programmation,Jean-Philippe Sicaud,jpsicaud@urfol-aura.org
Véo Grand Lumière,2 rue Maurice Bonnevialle - 42400 Saint-Chamond,3,383601,197,Numérique,Numérique 2D,Programmation,Jean-Philippe Sicaud,jpsicaud@urfol-aura.org
Véo Grand Lumière,2 rue Maurice Bonnevialle - 42400 Saint-Chamond,4,383602,96,Numérique,Numérique 2D,Programmation,Jean-Philippe Sicaud,jpsicaud@urfol-aura.org
Véo Grand Lumière,2 rue Maurice Bonnevialle - 42400 Saint-Chamond,5,383603,118,35mmNumérique,Numérique 2D,Programmation,Jean-Philippe Sicaud,jpsicaud@urfol-aura.org
Véo Grand Lumière,2 rue Maurice Bonnevialle - 42400 Saint-Chamond,6,383604,295,Numérique,Numérique 2D,Programmation,Jean-Philippe Sicaud,jpsicaud@urfol-aura.org
Ciné théâtre,"130, rue Théophile Roussel - 48200 Saint-Chély-d'Apcher",1,378233,152,35mmNumérique,Numérique 2D,Programmation régions de Marseille + GRP + DROM et Bordeaux,Sandrine Gueynard,sandrine.gueynard@veocine.fr
Trois Pierrots (Les),"6 - 8, rue du Mont Valérien - 92210 Saint-Cloud",1,379671,364,3D35mmNumérique,Numérique 2D,GRP,Laurent Geissmann,laurent.geissmann@prog-gpci.fr
Trois Pierrots (Les),"6 - 8, rue du Mont Valérien - 92210 Saint-Cloud",2,379672,102,3D35mmNumérique,Numérique 2D,GRP,Laurent Geissmann,laurent.geissmann@prog-gpci.fr
Yeux d'Elsa (Les),"11 bis, Av. Jean Jaurès - 78210 Saint-Cyr-l'Ecole",1,381152,168,3D35mmNumérique,Numérique 2D,,Gilles Le Proust,gilles.leproust@yahoo.fr
Cézanne (Le),"1, rue Marcel Guillaume - 13100 Aix-en-Provence",1,013413,442,3D35mmNumérique,Numérique 2D,Directeur adjoint de la Programmation,Marc Mercier,marc.mercier@pathe.com
Cézanne (Le),"1, rue Marcel Guillaume - 13100 Aix-en-Provence",2,013414,244,3D35mmNumérique,Numérique 2D,Directeur adjoint de la Programmation,Marc Mercier,marc.mercier@pathe.com
Cézanne (Le),"1, rue Marcel Guillaume - 13100 Aix-en-Provence",3,013444,278,3D35mmNumérique,Numérique 2D,Directeur adjoint de la Programmation,Marc Mercier,marc.mercier@pathe.com
Cézanne (Le),"1, rue Marcel Guillaume - 13100 Aix-en-Provence",4,013445,108,3D35mmNumérique,Numérique 2D,Directeur adjoint de la Programmation,Marc Mercier,marc.mercier@pathe.com
Cézanne (Le),"1, rue Marcel Guillaume - 13100 Aix-en-Provence",5,013451,70,35mmNumérique,Numérique 2D,Directeur adjoint de la Programmation,Marc Mercier,marc.mercier@pathe.com
Cézanne (Le),"1, rue Marcel Guillaume - 13100 Aix-en-Provence",6,013435,105,3D35mmNumérique,Numérique 2D,Directeur adjoint de la Programmation,Marc Mercier,marc.mercier@pathe.com
Cézanne (Le),"1, rue Marcel Guillaume - 13100 Aix-en-Provence",7,013441,110,35mmNumérique,Numérique 2D,Directeur adjoint de la Programmation,Marc Mercier,marc.mercier@pathe.com
Cézanne (Le),"1, rue Marcel Guillaume - 13100 Aix-en-Provence",8,013442,104,35mmNumérique,Numérique 2D,Directeur adjoint de la Programmation,Marc Mercier,marc.mercier@pathe.com
Cézanne (Le),"1, rue Marcel Guillaume - 13100 Aix-en-Provence",9,013443,78,35mmNumérique,Numérique 2D,Directeur adjoint de la Programmation,Marc Mercier,marc.mercier@pathe.com
Ecran (L'),"14, Passage de l'Aqueduc - 93200 Saint-Denis",1,381912,299,3D35mmNumérique,Numérique 2D,Directrice / Programmatrice,Marine RIOU,marine.riou@lecranstdenis.fr
Ecran (L'),"14, Passage de l'Aqueduc - 93200 Saint-Denis",2,381913,99,35mmNumérique,Numérique 2D,Directrice / Programmatrice,Marine RIOU,marine.riou@lecranstdenis.fr
Excelsior Espace Georges Sadoul,"26-28, Quai Sadi Carnot - 88100 Saint-Dié",1,382423,96,35mmNumérique,Numérique 2D,Romain Ganier,cinema.excelsior88@orange.fr,
MJC du Pays de l'Herbasse - Espace des Collines,Cinéma les Ulezes - 26260 Saint-Donat-sur-l'Herbasse,1,382660,232,35mmNumérique,Numérique 2D,Aurélie,gsflyon@free.fr,
Vence (La),"36, Av. du Général de Gaulle - 38120 Saint-Egrève",1,382760,331,3D35mmNumérique,Numérique 2D,Lydie Ratajczyk,lydie@mc4-distribution.fr,
Vence (La),"36, Av. du Général de Gaulle - 38120 Saint-Egrève",2,382761,101,35mmNumérique,Numérique 2D,Lydie Ratajczyk,lydie@mc4-distribution.fr,
Méliès (St-François + Jean Jaurès),"10, Place Jean-Jaurès - 42000 Saint-Etienne",1 - Jean Jaurès,383585,119,3DNumérique,Numérique 2D,Sylvain Pichon,sylvainpichon@lemelies.com,
Méliès (St-François + Jean Jaurès),"10, Place Jean-Jaurès - 42000 Saint-Etienne",2 - Jean Jaurès,383255,123,3D35mmNumérique,Numérique 2D,Sylvain Pichon,sylvainpichon@lemelies.com,
Méliès (St-François + Jean Jaurès),"10, Place Jean-Jaurès - 42000 Saint-Etienne",3 - Jean Jaurès,383587,119,3D35mmNumérique,Numérique 2D,Sylvain Pichon,sylvainpichon@lemelies.com,
Méliès (St-François + Jean Jaurès),"10, Place Jean-Jaurès - 42000 Saint-Etienne",4 - Jean Jaurès,383588,196,3D35mmNumérique,Numérique 2D,Sylvain Pichon,sylvainpichon@lemelies.com,
Méliès (St-François + Jean Jaurès),"10, Place Jean-Jaurès - 42000 Saint-Etienne",5 - Saint François,383261,354,3D35mmNumérique,Numérique 2D,Sylvain Pichon,sylvainpichon@lemelies.com,
Méliès (St-François + Jean Jaurès),"10, Place Jean-Jaurès - 42000 Saint-Etienne",6 - Saint François,383586,196,3DNumérique,Numérique 2D,Sylvain Pichon,sylvainpichon@lemelies.com,
Club de l'Etoile (Le),"14, rue Troyon - 75017 Paris",1,009802,161,3D35mmNumérique,Numérique 2D,,leclub@clubdeletoile.fr,
Club de l'Etoile (Le),"14, rue Troyon - 75017 Paris",1bis,,,35mmNumérique,,,leclub@clubdeletoile.fr,
Montluc Ciné,Rue Chauvin de la Musse - 44360 Saint-Etienne-de-Montluc,1,383961,241,35mmNumérique,Numérique 2D,GRP,Laurent Geissmann,laurent.geissmann@prog-gpci.fr
